hh,mm,ss,sss,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir,mains_hz,mains_category,step_count
0,0,0,0,-0.9797051911984619,-0.08221686452833643,-0.028565324869533372,7.182857142857143,-3.4628571428571426,-1.8171428571428572,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,10,-0.9824518570513017,-0.08648945585497604,-0.02301095614490188,6.314285714285714,-2.88,-0.8742857142857143,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,20,-0.9824518570513017,-0.08648945585497604,-0.02301095614490188,6.314285714285714,-2.88,-0.8742857142857143,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,30,-0.978667561876278,-0.0781884212775048,-0.021179845576342053,5.045714285714285,-2.6285714285714286,0.44571428571428573,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,40,-0.978667561876278,-0.0781884212775048,-0.021179845576342053,5.045714285714285,-2.6285714285714286,0.44571428571428573,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,50,-0.9830011902218696,-0.06799523911252174,-0.02301095614490188,3.72,-2.2914285714285714,2.5028571428571427,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,60,-0.9830011902218696,-0.06799523911252174,-0.02301095614490188,3.72,-2.2914285714285714,2.5028571428571427,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,70,-0.999664296395764,-0.065248573259682,-0.02423169652394177,2.7485714285714287,-2.0285714285714285,4.005714285714285,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,80,-0.9983825189977722,-0.06250190740684225,-0.02533036286507767,1.8914285714285715,-1.0685714285714285,5.062857142857143,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,90,-0.9983825189977722,-0.06250190740684225,-0.02533036286507767,1.8914285714285715,-1.0685714285714285,5.062857142857143,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,100,-0.9831843012787256,-0.052003540147099216,-0.023499252296517836,1.2342857142857142,-0.2742857142857143,5.228571428571429,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,110,-0.9831843012787256,-0.052003540147099216,-0.023499252296517836,1.2342857142857142,-0.2742857142857143,5.228571428571429,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,120,-0.9725028229621265,-0.04052858058412427,-0.027344584490493484,0.84,-0.12571428571428572,5.365714285714286,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,130,-0.9725028229621265,-0.04052858058412427,-0.027344584490493484,0.84,-0.12571428571428572,5.365714285714286,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,140,-0.966521195104831,-0.03393658253730888,-0.026978362376781518,0.5485714285714286,-0.08,5.171428571428572,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,150,-0.966521195104831,-0.03393658253730888,-0.026978362376781518,0.5485714285714286,-0.08,5.171428571428572,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,160,-0.9658497878963591,-0.027100436414685507,-0.02783288064210944,0.5314285714285715,-0.5885714285714285,4.331428571428572,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,170,-0.9658497878963591,-0.027100436414685507,-0.02783288064210944,0.5314285714285715,-0.5885714285714285,4.331428571428572,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,180,-0.9483932004760888,-0.021240882595294046,-0.026673177282021544,0.52,-0.8857142857142857,3.9657142857142857,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,190,-0.9483932004760888,-0.021240882595294046,-0.026673177282021544,0.52,-0.8857142857142857,3.9657142857142857,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,200,-0.9475997192297129,-0.02423169652394177,-0.02368236335337382,0.6171428571428571,-2.137142857142857,2.6228571428571428,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,255
0,0,0,210,-0.9475997192297129,-0.02423169652394177,-0.02368236335337382,0.5028571428571429,-3.525714285714286,1.24,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,220,-0.9395428327280496,-0.028199102755821406,-0.02099673451948607,0.5028571428571429,-3.525714285714286,1.24,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,230,-0.9612720114749596,-0.03631702627643666,-0.021546067690054016,0.17714285714285713,-5.388571428571429,-1.2914285714285714,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,240,-0.9612720114749596,-0.03631702627643666,-0.021546067690054016,0.17714285714285713,-5.388571428571429,-1.2914285714285714,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,250,-0.9825128940702537,-0.039368877224036376,-0.020630512405774102,-0.6171428571428571,-6.531428571428571,-3.6914285714285713,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,260,-0.9825128940702537,-0.039368877224036376,-0.020630512405774102,-0.6171428571428571,-6.531428571428571,-3.6914285714285713,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,270,-0.9818414868617816,-0.044495986816003905,-0.014526810510574664,-1.6571428571428573,-6.7542857142857144,-5.582857142857143,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,280,-0.9818414868617816,-0.044495986816003905,-0.014526810510574664,-1.6571428571428573,-6.7542857142857144,-5.582857142857143,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,290,-0.9685964537491989,-0.047425763725699635,-0.007568590350047304,-2.76,-7.148571428571429,-7.24,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,300,-0.9685964537491989,-0.047425763725699635,-0.007568590350047304,-2.76,-7.148571428571429,-7.24,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,310,-0.956266975920896,-0.04943998535111545,0.0014648884548478652,-3.8857142857142857,-7.937142857142857,-8.308571428571428,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,320,-0.956266975920896,-0.04943998535111545,0.0014648884548478652,-3.8857142857142857,-7.937142857142857,-8.308571428571428,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,330,-0.9630420850245675,-0.0586565752128666,0.005554368724631489,-4.7371428571428575,-9.057142857142857,-9.177142857142858,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
