hh,mm,ss,sss,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir,mains_hz,mains_category,step_count
0,0,0,0,-0.9620044557023835,-0.0934476760155034,-0.018860438856166263,1.5085714285714287,-4.188571428571429,-5.868571428571428,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,10,-0.9620044557023835,-0.0934476760155034,-0.018860438856166263,1.5085714285714287,-4.188571428571429,-5.868571428571428,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,20,-0.9654835657826472,-0.09833063753166295,-0.020142216254158147,0.7771428571428571,-4.725714285714286,-5.565714285714286,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,30,-0.9654835657826472,-0.09833063753166295,-0.020142216254158147,0.7771428571428571,-4.725714285714286,-5.565714285714286,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,40,-0.9738456373790704,-0.10461745048371837,-0.018311105685598315,0.09714285714285714,-5.1085714285714285,-4.84,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,50,-0.9738456373790704,-0.10461745048371837,-0.018311105685598315,0.09714285714285714,-5.1085714285714285,-4.84,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,60,-0.9714041566209907,-0.11450544755394146,-0.015076143681142613,-0.49142857142857144,-5.211428571428572,-4.057142857142857,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,70,-0.9714041566209907,-0.11450544755394146,-0.015076143681142613,-0.49142857142857144,-5.211428571428572,-4.057142857142857,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,80,-0.9704886013367107,-0.12109744560075686,-0.013122959074678793,-1.0285714285714285,-5.548571428571429,-3.4914285714285715,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,90,-0.9704886013367107,-0.12109744560075686,-0.013122959074678793,-1.0285714285714285,-5.548571428571429,-3.4914285714285715,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,100,-0.9749443037202064,-0.1218298898281808,-0.012085329752494888,-1.4,-5.948571428571428,-2.96,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
