hh,mm,ss,sss,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir,mains_hz,mains_category,step_count
0,0,0,0,-0.9713431196020387,0.028015991698965424,0.06976531266212958,1.5371428571428571,-2.5142857142857142,-1.3714285714285714,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,10,-0.9713431196020387,0.028015991698965424,0.06976531266212958,1.5371428571428571,-2.5142857142857142,-1.3714285714285714,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,20,-0.9723197119052706,0.028626361888485365,0.0750144962920011,1.6285714285714286,-3.057142857142857,-1.3428571428571427,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,30,-0.9723197119052706,0.028626361888485365,0.0750144962920011,1.6285714285714286,-3.057142857142857,-1.3428571428571427,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,40,-0.9794000061037019,0.028626361888485365,0.07788323618274484,1.6685714285714286,-3.1142857142857143,-1.3371428571428572,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,50,-0.9794000061037019,0.028626361888485365,0.07788323618274484,1.6685714285714286,-3.1142857142857143,-1.3371428571428572,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,60,-0.9798272652363659,0.0271614734336375,0.08069093905453657,1.8914285714285715,-1.9828571428571429,-1.3257142857142856,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,70,-0.9798272652363659,0.0271614734336375,0.08069093905453657,1.8914285714285715,-1.9828571428571429,-1.3257142857142856,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,80,-0.977629932554094,0.02850428785058138,0.07910397656178472,2.1085714285714285,-0.5428571428571428,-1.2457142857142858,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,90,-0.977629932554094,0.02850428785058138,0.07910397656178472,2.1085714285714285,-0.5428571428571428,-1.2457142857142858,25,17,3499,3024,135,677,26,19,3494,3160,0,no mains / natural or DC,0
0,0,0,100,-0.9695730460524308,0.027954954680013428,0.07104709006012147,1.8971428571428572,-0.7314285714285714,-1.3085714285714285,25,17,3499,3024,135,677,26,19,3494,3160,0,no mains / natural or DC,0
0,0,0,110,-0.9737235633411664,0.027893917661061432,0.07483138523514511,1.937142857142857,-1.4742857142857142,-1.2685714285714285,25,17,3499,3024,135,677,26,19,3494,3160,0,no mains / natural or DC,0
0,0,0,120,-0.9737235633411664,0.027893917661061432,0.07483138523514511,1.937142857142857,-1.4742857142857142,-1.2685714285714285,25,17,3499,3024,135,677,26,19,3494,3160,0,no mains / natural or DC,0
0,0,0,130,-0.9766533402508621,0.02948088015381329,0.07702871791741692,1.9657142857142857,-1.5371428571428571,-1.2571428571428571,25,17,3499,3024,135,677,26,19,3494,3160,0,no mains / natural or DC,0
0,0,0,140,-0.9766533402508621,0.02948088015381329,0.07702871791741692,1.9657142857142857,-1.5371428571428571,-1.2571428571428571,25,17,3499,3024,135,677,26,19,3494,3160,0,no mains / natural or DC,0
0,0,0,150,-0.979094821008942,0.029297769096957305,0.07782219916379284,1.937142857142857,-0.9942857142857143,-1.2914285714285714,25,17,3499,3024,135,677,26,19,3494,3160,0,no mains / natural or DC,0
0,0,0,160,-0.979094821008942,0.029297769096957305,0.07782219916379284,1.937142857142857,-0.9942857142857143,-1.2914285714285714,25,17,3499,3024,135,677,26,19,3494,3160,0,no mains / natural or DC,0
0,0,0,170,-0.9719534897915586,0.02868739890743736,0.076113162633137,1.8742857142857143,-0.33714285714285713,-1.36,25,17,3499,3024,135,677,26,19,3494,3160,0,no mains / natural or DC,0
0,0,0,180,-0.9719534897915586,0.02868739890743736,0.076113162633137,1.8742857142857143,-0.33714285714285713,-1.36,25,17,3499,3024,135,677,26,19,3494,3160,0,no mains / natural or DC,0
0,0,0,190,-0.9743339335306863,0.027344584490493484,0.0750144962920011,1.7885714285714285,-0.3028571428571429,-1.3428571428571427,25,18,2662,2777,138,0,26,19,2699,2861,0,no mains / natural or DC,0
0,0,0,200,-0.9727469710379345,0.0304574724570452,0.0576189458906827,1.6685714285714286,-1.0685714285714285,-1.1371428571428572,25,18,2662,2777,138,0,26,19,2699,2861,0,no mains / natural or DC,0
0,0,0,210,-0.9727469710379345,0.0304574724570452,0.0576189458906827,1.6685714285714286,-1.0685714285714285,-1.1371428571428572,25,18,2662,2777,138,0,26,19,2699,2861,0,no mains / natural or DC,0
0,0,0,220,-0.978606524857326,0.028382213812677387,0.05633716849269082,1.7028571428571428,-1.5142857142857142,-1.1828571428571428,25,18,2662,2777,138,0,26,19,2699,2861,0,no mains / natural or DC,0
0,0,0,230,-0.978606524857326,0.028382213812677387,0.05633716849269082,1.7028571428571428,-1.5142857142857142,-1.1828571428571428,25,18,2662,2777,138,0,26,19,2699,2861,0,no mains / natural or DC,0
0,0,0,240,-0.966582232123783,0.028199102755821406,0.05883968626972259,1.7314285714285713,-2.3085714285714287,-1.2971428571428572,25,18,2662,2777,138,0,26,19,2699,2861,0,no mains / natural or DC,0
0,0,0,250,-0.966582232123783,0.028199102755821406,0.05883968626972259,1.7314285714285713,-2.3085714285714287,-1.2971428571428572,25,18,2662,2777,138,0,26,19,2699,2861,0,no mains / natural or DC,0
0,0,0,260,-0.9730521561326945,0.02880947294534135,0.06079287087618641,1.6,-3.72,-1.2742857142857142,25,18,2662,2777,138,0,26,19,2699,2861,0,no mains / natural or DC,0
0,0,0,270,-0.9730521561326945,0.02880947294534135,0.06079287087618641,1.6,-3.72,-1.2742857142857142,25,18,2662,2777,138,0,26,19,2699,2861,0,no mains / natural or DC,0
0,0,0,280,-0.979216895046846,0.02868739890743736,0.07037568285164952,1.4228571428571428,-4.502857142857143,-1.3371428571428572,25,18,2662,2777,138,0,26,19,2699,2861,0,no mains / natural or DC,0
0,0,0,290,-0.979216895046846,0.02868739890743736,0.07037568285164952,1.4228571428571428,-4.502857142857143,-1.3371428571428572,26,18,4038,3849,142,0,26,20,4023,3916,0,no mains / natural or DC,0
0,0,0,300,-0.9709158604693747,0.029602954191717275,0.07208471938230537,1.7257142857142858,-0.7828571428571428,-1.3257142857142856,26,18,4038,3849,142,0,26,20,4023,3916,0,no mains / natural or DC,0
0,0,0,310,-0.9709158604693747,0.029602954191717275,0.07208471938230537,1.7257142857142858,-0.7828571428571428,-1.3257142857142856,26,18,4038,3849,142,0,26,20,4023,3916,0,no mains / natural or DC,0
0,0,0,320,-0.9718314157536546,0.026795251319925537,0.06732383190404981,1.6514285714285715,-1.1257142857142857,-1.3542857142857143,26,18,4038,3849,142,0,26,20,4023,3916,0,no mains / natural or DC,0
0,0,0,330,-0.9718314157536546,0.026795251319925537,0.06732383190404981,1.6514285714285715,-1.1257142857142857,-1.3542857142857143,26,18,4038,3849,142,0,26,20,4023,3916,0,no mains / natural or DC,0
0,0,0,340,-0.9772637104403821,0.026001770073549608,0.0717184972685934,1.36,-2.005714285714286,-1.3657142857142857,26,18,4038,3849,142,0,26,20,4023,3916,0,no mains / natural or DC,0
0,0,0,350,-0.9772637104403821,0.026001770073549608,0.0717184972685934,1.36,-2.005714285714286,-1.3657142857142857,26,18,4038,3849,142,0,26,20,4023,3916,0,no mains / natural or DC,0
0,0,0,360,-0.978179265724662,0.02978606524857326,0.07165746024964141,1.6285714285714286,-1.497142857142857,-1.3428571428571427,26,18,4038,3849,142,0,26,20,4023,3916,0,no mains / natural or DC,0
0,0,0,370,-0.978179265724662,0.02978606524857326,0.07165746024964141,1.6285714285714286,-1.497142857142857,-1.3428571428571427,26,18,4038,3849,142,0,26,20,4023,3916,0,no mains / natural or DC,0
0,0,0,380,-0.9700613422040467,0.029602954191717275,0.06701864680928983,1.6171428571428572,-1.2971428571428572,-1.3657142857142857,26,18,4038,3849,142,0,26,20,4023,3916,0,no mains / natural or DC,0
0,0,0,390,-0.9700613422040467,0.029602954191717275,0.06701864680928983,1.6171428571428572,-1.2971428571428572,-1.3657142857142857,26,18,3810,4323,141,0,26,19,3667,4383,0,no mains / natural or DC,0
0,0,0,400,-0.978911709952086,0.032227546006653035,0.08282723471785639,1.8,-2.777142857142857,-1.2971428571428572,26,18,3810,4323,141,0,26,19,3667,4383,0,no mains / natural or DC,0
0,0,0,410,-0.9800103762932219,0.03088473158970916,0.08630634479812006,1.7428571428571429,-1.5942857142857143,-1.417142857142857,26,18,3810,4323,141,0,26,19,3667,4383,0,no mains / natural or DC,0
0,0,0,420,-0.9800103762932219,0.03088473158970916,0.08630634479812006,1.7428571428571429,-1.5942857142857143,-1.417142857142857,26,18,3810,4323,141,0,26,19,3667,4383,0,no mains / natural or DC,0
0,0,0,430,-0.9800103762932219,0.03088473158970916,0.08630634479812006,1.7428571428571429,-1.5942857142857143,-1.417142857142857,26,18,3810,4323,141,0,26,19,3667,4383,0,no mains / natural or DC,0
0,0,0,440,-0.9757377849665823,0.027405621509445477,0.08276619769890439,1.76,-0.12,-1.44,26,18,3810,4323,141,0,26,19,3667,4383,0,no mains / natural or DC,0
0,0,0,450,-0.9757377849665823,0.027405621509445477,0.0794091616565447,1.8457142857142856,0.6057142857142858,-1.3542857142857143,26,18,3810,4323,141,0,26,19,3667,4383,0,no mains / natural or DC,0
0,0,0,460,-0.9758598590044862,0.02655110324411756,0.0794091616565447,1.8457142857142856,0.6057142857142858,-1.3542857142857143,26,18,3810,4323,141,0,26,19,3667,4383,0,no mains / natural or DC,0
0,0,0,470,-0.9771416364024781,0.02966399121066927,0.07812738425855281,1.88,0.9314285714285714,-1.3428571428571427,26,18,3810,4323,141,0,26,19,3667,4383,0,no mains / natural or DC,0
0,0,0,480,-0.9771416364024781,0.02966399121066927,0.07812738425855281,1.88,0.9314285714285714,-1.3428571428571427,26,18,3810,4323,141,0,26,19,3667,4383,0,no mains / natural or DC,0
0,0,0,490,-0.977996154667806,0.029541917172765282,0.07757805108798486,1.9885714285714287,1.457142857142857,-1.36,25,18,3636,3040,141,0,27,19,3576,3135,0,no mains / natural or DC,0
0,0,0,500,-0.9773247474593341,0.027588732566301462,0.07245094149601733,1.737142857142857,1.9142857142857144,-1.3657142857142857,25,18,3636,3040,141,0,27,19,3576,3135,0,no mains / natural or DC,0
0,0,0,510,-0.9773247474593341,0.027588732566301462,0.07245094149601733,1.737142857142857,1.9142857142857144,-1.3657142857142857,25,18,3636,3040,141,0,27,19,3576,3135,0,no mains / natural or DC,0
0,0,0,520,-0.9773247474593341,0.027588732566301462,0.07245094149601733,1.737142857142857,1.9142857142857144,-1.3657142857142857,25,18,3636,3040,141,0,27,19,3576,3135,0,no mains / natural or DC,0
0,0,0,530,-0.9696951200903348,0.027100436414685507,0.06537064729758599,1.7771428571428571,2.1485714285714286,-1.3828571428571428,25,18,3636,3040,141,0,27,19,3576,3135,0,no mains / natural or DC,0
