hh,mm,ss,sss,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir,mains_hz,mains_category,step_count
0,0,0,0,-0.9824518570513017,0.0014648884548478652,0.006836146122623371,0.52,-2.4457142857142857,-3.9257142857142857,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,10,-0.9824518570513017,0.0014648884548478652,0.006836146122623371,0.52,-2.4457142857142857,-3.9257142857142857,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,20,-0.9706106753746147,0.0009765923032319102,-0.0017090365306558428,0.6914285714285714,-2.297142857142857,-3.4571428571428573,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,30,-0.9706106753746147,0.0009765923032319102,-0.0017090365306558428,0.6914285714285714,-2.297142857142857,-3.4571428571428573,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,40,-0.9613330484939115,0.002990813928647725,-0.010620441297647023,0.8971428571428571,-2.354285714285714,-2.777142857142857,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,50,-0.9613330484939115,0.002990813928647725,-0.010620441297647023,0.8971428571428571,-2.354285714285714,-2.777142857142857,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,60,-0.9617603076265755,0.00891140476699118,-0.020569475386822106,1.2057142857142857,-2.24,-1.6857142857142857,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,70,-0.9617603076265755,0.00891140476699118,-0.020569475386822106,1.2057142857142857,-2.24,-0.22285714285714286,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,80,-0.956877346110416,0.016479995117038484,-0.02893154698324534,1.5542857142857143,-1.8114285714285714,-0.08,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,90,-0.9443037202063052,0.021485030671102023,-0.038331247901852473,1.937142857142857,-1.4628571428571429,1.7771428571428571,36,30,4191,3138,111,1535,37,32,4010,3125,0,no mains / natural or DC,0
0,0,0,100,-0.9091463972899564,0.1870784630878628,-0.18420972319711906,16.005714285714287,0.38285714285714284,2.0685714285714285,36,30,4191,3138,111,1535,37,32,4010,3125,0,no mains / natural or DC,0
0,0,0,110,-0.8947416608172857,0.1889095736564226,-0.19647816400646992,16.417142857142856,0.38285714285714284,2.0685714285714285,36,30,4191,3138,111,1535,37,32,4010,3125,0,no mains / natural or DC,0
0,0,0,120,-0.8947416608172857,0.1889095736564226,-0.19647816400646992,16.417142857142856,0.38285714285714284,2.0685714285714285,36,30,4191,3138,111,1535,37,32,4010,3125,0,no mains / natural or DC,0
