hh,mm,ss,sss,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir,mains_hz,mains_category,step_count
0,0,0,0,-0.9834284493545336,-0.015137180700094607,-0.09399700918607135,2.0228571428571427,-3.5942857142857143,-0.8057142857142857,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,10,-0.9854426709799493,-0.014221625415814692,-0.09143345439008758,1.8285714285714285,-3.137142857142857,-0.3142857142857143,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,20,-0.9854426709799493,-0.014221625415814692,-0.09143345439008758,1.8285714285714285,-3.137142857142857,-0.3142857142857143,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,30,-0.9834894863734855,-0.014038514358958708,-0.0902737510299997,1.7257142857142858,-2.6285714285714286,0.17142857142857143,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,40,-0.9834894863734855,-0.014038514358958708,-0.0902737510299997,1.7257142857142858,-2.6285714285714286,0.17142857142857143,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,50,-0.9803765984069338,-0.01532029175695059,-0.08929715872676779,1.6228571428571428,-2.257142857142857,0.44,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,60,-0.9803765984069338,-0.01532029175695059,-0.08929715872676779,1.6228571428571428,-2.257142857142857,0.44,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,70,-0.9785454878383739,-0.01489303262428663,-0.0892361217078158,1.502857142857143,-2.12,0.44,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,80,-0.9785454878383739,-0.01489303262428663,-0.0892361217078158,1.502857142857143,-2.12,0.44,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,90,-0.97781304361095,-0.014099551377910703,-0.08990752891628773,1.4114285714285715,-2.0342857142857143,0.2914285714285714,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,100,-0.97781304361095,-0.014099551377910703,-0.08990752891628773,1.4114285714285715,-2.0342857142857143,0.2914285714285714,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,110,-0.9757377849665823,-0.011474959562974944,-0.09137241737113559,1.302857142857143,-2.005714285714286,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,120,-0.9757377849665823,-0.011474959562974944,-0.09137241737113559,1.302857142857143,-2.005714285714286,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,130,-0.9737235633411664,-0.010254219183935057,-0.09088412121951964,1.2057142857142857,-1.9828571428571429,0.05714285714285714,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,140,-0.9737235633411664,-0.009277626880703146,-0.09204382457960752,1.0857142857142856,-1.9428571428571428,-0.11428571428571428,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,150,-0.9750053407391583,-0.009277626880703146,-0.09204382457960752,1.0857142857142856,-1.9428571428571428,-0.11428571428571428,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,160,-0.9734183782464064,-0.010376293221839045,-0.09247108371227149,0.9142857142857143,-1.9028571428571428,-0.45714285714285713,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,170,-0.9734183782464064,-0.010376293221839045,-0.09247108371227149,0.9142857142857143,-1.9028571428571428,-0.45714285714285713,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,180,-0.9732352671895504,-0.00793481246375927,-0.09472945341349528,0.6571428571428571,-1.9714285714285715,-0.92,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,190,-0.9732352671895504,-0.00793481246375927,-0.09472945341349528,0.6571428571428571,-1.9714285714285715,-0.92,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,200,-0.9721366008484146,-0.0053102206488235115,-0.09680471205786309,0.4514285714285714,-1.92,-1.4114285714285715,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,0
0,0,0,210,-0.9721366008484146,-0.0053102206488235115,-0.09680471205786309,0.4514285714285714,-1.92,-1.4114285714285715,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,1
0,0,0,220,-0.9753715628528703,-0.0005493331705679495,-0.09869685964537492,0.28,-1.6742857142857144,-1.68,0,0,0,0,0,0,0,0,0,0,0,no mains / natural or DC,1
